ERROR:root:An error occurred: listdir: path should be string, bytes, os.PathLike or None, not int
INFO:root:File info: File(name='.pytest_cache', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='life', extension='.py', is_dir=False, parent_dir='python_GB')
INFO:root:File info: File(name='OOP', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='or', extension='.py', is_dir=False, parent_dir='python_GB')
INFO:root:File info: File(name='task2', extension='.py', is_dir=False, parent_dir='python_GB')
INFO:root:File info: File(name='types', extension='.py', is_dir=False, parent_dir='python_GB')
INFO:root:File info: File(name='那_10', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_11', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_12', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_13', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_14', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_15', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_2', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_3', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_4', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_6', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_7', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_8', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='那_9', extension=None, is_dir=True, parent_dir='python_GB')
INFO:root:File info: File(name='项脲珥铄', extension='.docx', is_dir=False, parent_dir='python_GB')
